# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  2 15:42:12 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
K2-221 b,K2-221,1,1,2.39909400000,0.00012500000,-0.00011800000,0,1.67890272,0.16686160,-0.09566216,0,0.14978167,0.01488639,-0.00853441,0,,5716.00,50.00,-50.00,0,0.947599,0.044755,-0.029278,0,-0.06367,0.01154,-0.01186,0
K2-222 b,K2-222,1,1,15.38857000000,0.00088000000,-0.00088000000,0,2.35000000,0.08000000,-0.07000000,0,0.20965332,0.00713713,-0.00624499,0,,5942.00,119.00,-119.00,0,1.115000,0.029000,-0.029000,0,0.13852,0.00351,-0.00353,0
K2-223 b,K2-223,1,2,0.50557000000,0.00008800000,-0.00008800000,0,0.89000000,0.10000000,-0.09000000,0,0.07940062,0.00892142,-0.00802928,0,,5859.00,50.00,-50.00,0,1.000000,0.060000,-0.060000,0,-0.03543,0.00713,-0.00725,0
K2-223 c,K2-223,1,2,4.56254600000,0.00014000000,-0.00014000000,0,1.50000000,0.10000000,-0.10000000,0,0.13382127,0.00892142,-0.00892142,0,,5859.00,50.00,-50.00,0,1.000000,0.060000,-0.060000,0,-0.03543,0.00713,-0.00725,0
K2-224 b,K2-224,1,2,4.47904000000,0.00116000000,-0.00132000000,0,1.56000000,0.16000000,-0.14000000,0,0.13917388,0.01427424,-0.01248996,0,,5620.00,42.00,-45.00,0,0.840000,0.010000,-0.010000,0,-0.24102,0.00675,-0.00686,0
K2-224 c,K2-224,1,2,10.09489000000,0.00119000000,-0.00114000000,0,2.41000000,0.16000000,-0.12000000,0,0.21500580,0.01427424,-0.01070568,0,,5620.00,42.00,-45.00,0,0.840000,0.010000,-0.010000,0,-0.24102,0.00675,-0.00686,0
K2-225 b,K2-225,1,1,15.87230000000,0.00210000000,-0.00190000000,0,3.60929179,0.28022452,-0.22417961,0,0.32200000,0.02500000,-0.02000000,0,,5520.00,140.00,-140.00,0,1.700000,0.094000,-0.087000,0,0.38202,0.01938,-0.02029,0
K2-226 b,K2-226,1,1,3.27109000000,0.00036000000,-0.00039000000,0,1.53899305,0.10312262,-0.08630915,0,0.13730000,0.00920000,-0.00770000,0,,5288.00,99.00,-99.00,0,0.889000,0.034000,-0.032000,0,-0.25337,0.02200,-0.02318,0
K2-227 b,K2-227,1,1,13.62183200000,0.00318800000,-0.00326800000,0,1.66551298,1.22117412,-0.17927703,0,0.14858712,0.10894586,-0.01599403,0,,5673.00,50.00,-50.00,0,0.890666,0.040770,-0.030696,0,-0.16664,0.00621,-0.00630,0
K2-228 b,K2-228,1,1,2.69828000000,0.00022000000,-0.00022000000,0,1.21000000,0.10000000,-0.06000000,0,0.10794897,0.00892140,-0.00535284,0,,4715.00,48.00,-46.00,0,0.650000,0.010000,-0.010000,0,-0.84881,0.02583,-0.04122,0
K2-229 b,K2-229,1,2,0.58421600000,0.00002200000,-0.00002200000,0,1.00000000,0.02000000,-0.02000000,0,0.08921418,0.00178428,-0.00178428,0,G9,5315.00,35.00,-35.00,0,0.790000,0.010000,-0.010000,0,-0.38869,0.00547,-0.00554,0
K2-229 c,K2-229,1,2,8.32727000000,0.00041000000,-0.00043000000,0,2.03000000,0.12000000,-0.06000000,0,0.18110447,0.01070568,-0.00535284,0,G9,5315.00,35.00,-31.00,0,0.790000,0.010000,-0.010000,0,-0.38869,0.00547,-0.00554,0
K2-230 b,K2-230,1,1,2.86041000000,0.00061000000,-0.00061000000,0,1.96000000,0.18000000,-0.16000000,0,0.17485949,0.01605852,-0.01427424,0,,5945.00,23.00,-25.00,0,1.390000,0.040000,-0.040000,0,0.31741,0.01547,-0.01604,0
K2-231 b,K2-231,1,1,13.84190100000,0.00135200000,-0.00135200000,0,2.50000000,0.20000000,-0.20000000,0,0.22303506,0.01784280,-0.01784280,0,,5695.00,50.00,-50.00,0,0.950000,0.030000,-0.030000,0,-0.11208,0.00828,-0.00844,0
K2-232 b,K2-232,1,1,11.16845400000,0.00002300000,-0.00002300000,0,11.20900000,0.24659800,-0.22418000,0,1.00000000,0.02200000,-0.02000000,0,,6154.00,60.00,-60.00,0,1.161000,0.024000,-0.024000,0,0.23805,0.02440,-0.02853,0
K2-233 b,K2-233,1,3,2.46750000000,0.00004000000,-0.00004000000,0,1.34300000,0.01800000,-0.01600000,0,0.11981464,0.00160586,-0.00142743,0,K3,5033.00,41.00,-35.00,0,0.710000,0.010000,-0.010000,0,-0.52288,0.04402,-0.04899,0
K2-233 c,K2-233,1,3,7.06005000000,0.00024000000,-0.00027000000,0,1.28100000,0.02200000,-0.02100000,0,0.11428336,0.00196271,-0.00187350,0,K3,5033.00,41.00,-35.00,0,0.710000,0.010000,-0.010000,0,-0.52288,0.04402,-0.04899,0
K2-233 d,K2-233,1,3,24.36450000000,0.00068000000,-0.00068000000,0,2.35800000,0.04300000,-0.03600000,0,0.21036703,0.00383621,-0.00321171,0,K3,5033.00,41.00,-35.00,0,0.710000,0.010000,-0.010000,0,-0.52288,0.04402,-0.04899,0
K2-237 b,K2-237,1,1,2.18053332000,0.00000054000,-0.00000054000,0,16.06246934,0.62770292,-0.54924005,0,1.43300000,0.05600000,-0.04900000,0,F9 V,6180.00,160.00,-140.00,0,1.236000,0.043000,-0.036000,0,0.30320,0.05474,-0.04792,0
K2-238 b,K2-238,1,1,3.20466000000,0.00003000000,-0.00003000000,0,14.57170000,1.68135000,-1.56926000,0,1.30000000,0.15000000,-0.14000000,0,G2 V,5630.00,78.00,-78.00,0,1.590000,0.160000,-0.160000,0,0.36000,,,0
K2-239 b,K2-239,1,3,5.24000000000,0.00100000000,-0.00100000000,0,1.10000000,0.10000000,-0.10000000,0,0.09813543,0.00892140,-0.00892140,0,M3.0 V,3420.00,18.00,-18.00,0,0.360000,0.010000,-0.010000,0,-1.79588,0.02633,-0.02803,0
K2-239 c,K2-239,1,3,7.77500000000,0.00100000000,-0.00100000000,0,1.00000000,0.10000000,-0.10000000,0,0.08921402,0.00892140,-0.00892140,0,M3.0 V,3420.00,18.00,-18.00,0,0.360000,0.010000,-0.010000,0,-1.79588,0.02633,-0.02803,0
K2-239 d,K2-239,1,3,10.11500000000,0.00100000000,-0.00100000000,0,1.10000000,0.10000000,-0.10000000,0,0.09813543,0.00892140,-0.00892140,0,M3.0 V,3420.00,18.00,-18.00,0,0.360000,0.010000,-0.010000,0,-1.79588,0.02633,-0.02803,0
K2-24 b,K2-24,1,2,20.88977000000,0.00034000000,-0.00035000000,0,5.40000000,0.20000000,-0.20000000,0,0.48175573,0.01784280,-0.01784280,0,G9 V,5625.00,60.00,-60.00,0,1.160000,0.040000,-0.040000,0,0.15836,0.08961,-0.11304,0
K2-24 c,K2-24,1,2,42.33910000000,0.00120000000,-0.00120000000,0,7.50000000,0.30000000,-0.30000000,0,0.66910518,0.02676421,-0.02676421,0,G9 V,5625.00,60.00,-60.00,0,1.160000,0.040000,-0.040000,0,0.15836,0.08961,-0.11304,0
K2-240 b,K2-240,1,2,6.03400000000,0.00100000000,-0.00100000000,0,2.00000000,0.20000000,-0.10000000,0,0.17842805,0.01784280,-0.00892140,0,M0.5 V,3810.00,17.00,-17.00,0,0.540000,0.010000,-0.010000,0,-1.27572,0.01609,-0.01671,0
K2-240 c,K2-240,1,2,20.52300000000,0.00100000000,-0.00100000000,0,1.80000000,0.30000000,-0.10000000,0,0.16058524,0.02676421,-0.00892140,0,M0.5 V,3810.00,17.00,-17.00,0,0.540000,0.010000,-0.010000,0,-1.27572,0.01609,-0.01671,0
K2-241 b,K2-241,1,1,26.81990000000,0.00245000000,-0.00247000000,0,2.55000000,0.18000000,-0.10000000,0,0.22749576,0.01605852,-0.00892140,0,,5262.00,43.00,-39.00,0,0.750000,0.010000,-0.010000,0,-0.44608,0.00434,-0.00439,0
K2-242 b,K2-242,1,1,6.51389000000,0.00082000000,-0.00083000000,0,2.54000000,0.21000000,-0.19000000,0,0.22660362,0.01873495,-0.01695066,0,,3459.00,65.00,-38.00,0,0.370000,0.010000,-0.010000,0,-1.80800,0.09612,-0.12362,0
K2-243 b,K2-243,1,2,11.54182000000,0.00272000000,-0.00221000000,0,2.17000000,0.14000000,-0.12000000,0,0.19359443,0.01248996,-0.01070568,0,,6570.00,269.00,-171.00,0,1.390000,0.030000,-0.030000,0,0.42675,0.00776,-0.00790,0
K2-243 c,K2-243,1,2,24.94598000000,0.00491000000,-0.00561000000,0,2.01000000,0.15000000,-0.13000000,0,0.17932019,0.01338210,-0.01159782,0,,6570.00,269.00,-171.00,0,1.390000,0.030000,-0.030000,0,0.42675,0.00776,-0.00790,0
K2-244 b,K2-244,1,1,21.06884000000,0.00320000000,-0.00325000000,0,1.75000000,0.13000000,-0.10000000,0,0.15612454,0.01159782,-0.00892140,0,,5677.00,38.00,-39.00,0,0.920000,0.020000,-0.010000,0,-0.11800,0.00658,-0.00668,0
K2-245 b,K2-245,1,1,11.89307000000,0.00065000000,-0.00063000000,0,4.34000000,0.19000000,-0.14000000,0,0.38718887,0.01695066,-0.01248996,0,,5793.00,66.00,-52.00,0,1.250000,0.030000,-0.030000,0,0.17190,0.01174,-0.01207,0
K2-246 b,K2-246,1,1,5.76918000000,0.00081000000,-0.00082000000,0,3.49000000,0.25000000,-0.21000000,0,0.31135695,0.02230351,-0.01873495,0,,5610.00,32.00,-29.00,0,0.940000,0.030000,-0.030000,0,-0.15088,0.03462,-0.03763,0
K2-247 b,K2-247,1,2,2.25021000000,0.00033000000,-0.00036000000,0,2.12000000,0.19000000,-0.16000000,0,0.18913373,0.01695066,-0.01427424,0,,4667.00,305.00,-183.00,0,0.690000,0.020000,-0.010000,0,-0.88154,0.00820,-0.00836,0
K2-247 c,K2-247,1,2,6.49424000000,0.00260000000,-0.00251000000,0,2.19000000,0.25000000,-0.23000000,0,0.19537871,0.02230351,-0.02051923,0,,4667.00,305.00,-183.00,0,0.690000,0.020000,-0.010000,0,-0.88154,0.00820,-0.00836,0
K2-248 b,K2-248,1,1,7.17256000000,0.00148000000,-0.00142000000,0,2.57000000,0.20000000,-0.14000000,0,0.22928004,0.01784280,-0.01248996,0,,5528.00,97.00,-86.00,0,0.920000,0.020000,-0.020000,0,-0.18938,0.01270,-0.01308,0
K2-249 b,K2-249,1,1,12.40900000000,0.00337000000,-0.00284000000,0,2.79000000,0.27000000,-0.22000000,0,0.24890713,0.02408779,-0.01962709,0,,6504.00,329.00,-419.00,0,1.570000,0.060000,-0.060000,0,0.33627,0.01772,-0.01848,0
K2-25 b,K2-25,1,1,3.48456408000,0.00000060000,-0.00000050000,0,3.44000000,0.12000000,-0.12000000,0,0.30600000,0.01100000,-0.01100000,0,M4.5 V,3207.00,58.00,-58.00,0,0.293200,0.009300,-0.009300,0,-2.08831,0.01517,-0.01572,0
K2-250 b,K2-250,1,1,4.01392000000,0.00029000000,-0.00029000000,0,2.71257333,0.17934369,-0.13450777,0,0.24200000,0.01600000,-0.01200000,0,,5003.00,94.00,-94.00,0,0.797000,0.029000,-0.027000,0,-0.44491,0.02009,-0.01980,0
K2-251 b,K2-251,1,1,9.30075000000,0.00332000000,-0.00321000000,0,2.35000000,0.26000000,-0.21000000,0,0.20965296,0.02319565,-0.01873495,0,,3717.00,85.00,-50.00,0,0.490000,0.010000,-0.010000,0,-1.34211,0.00669,-0.00680,0
K2-252 b,K2-252,1,1,13.81513000000,0.00461000000,-0.00448000000,0,1.74000000,0.17000000,-0.12000000,0,0.15523240,0.01516638,-0.01070568,0,,5152.00,41.00,-39.00,0,0.820000,0.010000,-0.010000,0,-0.40842,0.00572,-0.00580,0
K2-253 b,K2-253,1,1,4.00167000000,0.00013000000,-0.00013000000,0,12.67000000,0.69000000,-0.61000000,0,1.13034169,0.06155768,-0.05442055,0,,6027.00,221.00,-240.00,0,1.100000,0.040000,-0.040000,0,-0.07738,0.03159,-0.03407,0
K2-254 b,K2-254,1,2,4.09639000000,0.00081000000,-0.00079000000,0,1.63000000,0.28000000,-0.24000000,0,0.14541886,0.02497993,-0.02141137,0,,4629.00,168.00,-123.00,0,0.670000,0.010000,-0.010000,0,-0.82244,0.00623,-0.00632,0
K2-254 c,K2-254,1,2,12.11839000000,0.00303000000,-0.00321000000,0,2.19000000,0.24000000,-0.18000000,0,0.19537871,0.02141137,-0.01605852,0,,4629.00,168.00,-123.00,0,0.670000,0.010000,-0.010000,0,-0.82244,0.00623,-0.00632,0
K2-255 b,K2-255,1,1,1.96417000000,0.00004000000,-0.00004000000,0,2.90000000,0.28000000,-0.11000000,0,0.25872067,0.02497993,-0.00981354,0,,4676.00,63.00,-61.00,0,0.690000,0.010000,-0.010000,0,-0.79022,0.00776,-0.00790,0
K2-257 b,K2-257,1,1,1.60588000000,0.00014000000,-0.00013000000,0,0.83000000,0.06000000,-0.05000000,0,0.07404764,0.00535284,-0.00446070,0,,3725.00,80.00,-46.00,0,0.500000,0.010000,-0.010000,0,-1.38099,0.09034,-0.11420,0
K2-258 b,K2-258,1,1,19.09210000000,0.00576000000,-0.00633000000,0,3.00000000,0.21000000,-0.20000000,0,0.26764207,0.01873495,-0.01784280,0,,6351.00,198.00,-228.00,0,1.310000,0.030000,-0.030000,0,0.27219,0.01682,-0.01994,0
K2-259 b,K2-259,1,1,15.48043000000,0.00332000000,-0.00392000000,0,2.32000000,0.20000000,-0.17000000,0,0.20697654,0.01784280,-0.01516638,0,,6059.00,62.00,-76.00,0,1.130000,0.030000,-0.020000,0,0.16711,0.01167,-0.01199,0
K2-26 b,K2-26,1,1,14.56650000000,0.00160000000,-0.00200000000,0,2.67000000,0.46000000,-0.42000000,0,0.23820145,0.04103845,-0.03746989,0,M1.0 V,3785.00,185.00,-185.00,0,0.520000,0.080000,-0.080000,0,-1.30980,0.16714,-0.27522,0
K2-260 b,K2-260,1,1,2.62669762000,0.00000066000,-0.00000066000,0,18.41635529,0.65012088,-0.81825559,0,1.64300000,0.05800000,-0.07300000,0,F6 V,6860.00,150.00,-160.00,0,1.755000,0.061000,-0.078000,0,0.78817,0.03269,-0.03843,0
K2-261 b,K2-261,1,1,11.63346810000,0.00000440000,-0.00000440000,0,9.26982704,0.36989636,-0.33626942,0,0.82700000,0.03300000,-0.03000000,0,G7 IV/V,5490.00,110.00,-110.00,0,1.663000,0.071000,-0.068000,0,0.35392,0.01641,-0.01626,0
K2-263 b,K2-263,1,1,50.81894700000,0.00009400000,-0.00009400000,0,2.41000000,0.12000000,-0.12000000,0,0.21500617,0.01070570,-0.01070570,0,G9 V,5368.00,44.00,-44.00,0,0.850000,0.020000,-0.020000,0,-0.25964,0.01551,-0.01609,0
K2-264 b,K2-264,1,2,5.84000200000,0.00067600000,-0.00060200000,0,2.23100000,0.15100000,-0.14500000,0,0.19903649,0.01347132,-0.01293603,0,M2.5 V,3660.00,80.00,-45.00,0,0.473000,0.011000,-0.011000,0,-1.48149,0.01551,-0.01609,0
K2-264 c,K2-264,1,2,19.66030200000,0.00349600000,-0.00333700000,0,2.66800000,0.20100000,-0.19400000,0,0.23802302,0.01793202,-0.01730752,0,M2.5 V,3660.00,80.00,-45.00,0,0.473000,0.011000,-0.011000,0,-1.48149,0.01551,-0.01609,0
K2-265 b,K2-265,2,1,2.36902000000,0.00005800000,-0.00005900000,0,1.70824866,0.11208981,-0.08070466,0,0.15240000,0.01000000,-0.00720000,0,G8 V,5420.00,100.00,-100.00,0,0.920000,0.034000,-0.032000,0,-0.18243,0.01558,-0.01616,0
K2-266 b,K2-266,2,4,0.65852400000,0.00001700000,-0.00001700000,0,3.30000000,1.80000000,-1.30000000,0,0.29440628,0.16058524,-0.11597823,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,-0.82333,0.01618,-0.01680,0
K2-266 c,K2-266,2,4,7.81400000000,0.00190000000,-0.00160000000,0,0.70500000,0.09600000,-0.08500000,0,0.06289589,0.00856455,-0.00758319,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,-0.82333,0.01618,-0.01680,0
K2-266 d,K2-266,2,4,14.69700000000,0.00034000000,-0.00035000000,0,2.93000000,0.14000000,-0.12000000,0,0.26139709,0.01248996,-0.01070568,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,-0.82333,0.01618,-0.01680,0
K2-266 e,K2-266,2,4,19.48200000000,0.00120000000,-0.00120000000,0,2.73000000,0.14000000,-0.11000000,0,0.24355429,0.01248996,-0.00981354,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,-0.82333,0.01618,-0.01680,0
K2-268 b,K2-268,1,5,2.15167600000,0.00000500000,-0.00000600000,0,1.50000000,0.12000000,-0.07000000,0,0.13382127,0.01070570,-0.00624499,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,-0.42942,0.01720,-0.01662,0
K2-268 c,K2-268,1,5,9.32752700000,0.00002100000,-0.00002000000,0,2.69000000,0.77000000,-0.21000000,0,0.23998614,0.06869492,-0.01873498,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,-0.42942,0.01720,-0.01662,0
K2-268 d,K2-268,1,5,4.52859800000,0.00001600000,-0.00001500000,0,1.49000000,0.14000000,-0.07000000,0,0.13292913,0.01248998,-0.00624499,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,-0.42942,0.01720,-0.01662,0
K2-268 e,K2-268,1,5,6.13124300000,0.00003200000,-0.00003300000,0,1.33000000,0.11000000,-0.08000000,0,0.11865486,0.00981356,-0.00713713,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,-0.42942,0.01720,-0.01662,0
K2-268 f,K2-268,1,5,26.27057000000,0.00010500000,-0.00010900000,0,2.23000000,0.15000000,-0.09000000,0,0.19894762,0.01338213,-0.00802928,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,-0.42942,0.01720,-0.01662,0
K2-269 b,K2-269,1,1,4.14496500000,0.00081700000,-0.00061900000,0,1.57000000,0.12000000,-0.12000000,0,0.14006602,0.01070568,-0.01070568,0,,6209.00,88.00,-88.00,0,1.450000,0.060000,-0.060000,0,0.46786,0.02814,-0.05297,0
K2-27 b,K2-27,3,1,6.77131500000,0.00008500000,-0.00008500000,0,4.48000000,0.23000000,-0.23000000,0,0.39967883,0.02051923,-0.02051923,0,,5248.00,60.00,-60.00,0,0.885000,0.043000,-0.043000,0,-0.26971,0.01381,-0.01577,0
K2-270 b,K2-270,1,2,1.54306900000,0.00018900000,-0.00018500000,0,1.38000000,0.11000000,-0.11000000,0,0.12311535,0.00981354,-0.00981354,0,,4877.00,58.00,-58.00,0,0.770000,0.010000,-0.010000,0,-0.51819,0.02291,-0.01385,0
K2-270 c,K2-270,1,2,4.40002800000,0.00016900000,-0.00017800000,0,2.95000000,0.16000000,-0.16000000,0,0.26318137,0.01427424,-0.01427424,0,,4877.00,58.00,-58.00,0,0.770000,0.010000,-0.010000,0,-0.51819,0.02291,-0.01385,0
K2-271 b,K2-271,1,1,8.56242100000,0.00012700000,-0.00012700000,0,7.28000000,0.23000000,-0.23000000,0,0.64947810,0.02051923,-0.02051923,0,,5644.00,71.00,-71.00,0,0.990000,0.030000,-0.030000,0,-0.04982,,,0
K2-272 b,K2-272,1,1,14.45367560000,0.00002430000,-0.00002400000,0,3.13000000,0.38000000,-0.21000000,0,0.27924038,0.03390139,-0.01873498,0,,5397.00,105.00,-96.00,0,0.830000,0.030000,-0.030000,0,-0.30214,,,0
K2-273 b,K2-273,1,1,11.71956630000,0.00001340000,-0.00001350000,0,3.05000000,0.23000000,-0.12000000,0,0.27210324,0.02051926,-0.01070570,0,,5161.00,53.00,-47.00,0,0.850000,0.020000,-0.020000,0,-0.35279,0.01591,-0.01357,0
K2-274 b,K2-274,1,1,14.13303140000,0.00002820000,-0.00002820000,0,2.08000000,0.12000000,-0.07000000,0,0.18556549,0.01070570,-0.00624499,0,,5044.00,43.00,-42.00,0,0.700000,0.010000,-0.010000,0,-0.50903,0.01897,-0.02755,0
K2-275 b,K2-275,1,2,3.28096260000,0.00000160000,-0.00000160000,0,2.34000000,0.25000000,-0.27000000,0,0.20876118,0.02230354,-0.02408783,0,,4841.00,39.00,-37.00,0,0.690000,0.010000,-0.010000,0,-0.59332,0.01177,-0.01784,0
K2-275 c,K2-275,1,2,8.43883850000,0.00000750000,-0.00000670000,0,2.21000000,0.08000000,-0.06000000,0,0.19716333,0.00713713,-0.00535285,0,,4841.00,39.00,-37.00,0,0.690000,0.010000,-0.010000,0,-0.59332,0.01177,-0.01784,0
K2-276 b,K2-276,1,1,18.71826900000,0.00315300000,-0.00300800000,0,3.77000000,0.21000000,-0.21000000,0,0.33633687,0.01873495,-0.01873495,0,,5139.00,62.00,-62.00,0,0.850000,0.020000,-0.020000,0,-0.40538,,,0
K2-277 b,K2-277,1,1,6.32676800000,0.00001500000,-0.00001200000,0,2.18575124,0.20176165,-0.12329879,0,0.19500000,0.01800000,-0.01100000,0,,5680.00,120.00,-120.00,0,0.973000,0.038000,-0.035000,0,-0.05061,0.02281,-0.02202,0
K2-278 b,K2-278,1,1,3.33496600000,0.00070100000,-0.00085900000,0,2.98000000,0.23000000,-0.23000000,0,0.26585779,0.02051923,-0.02051923,0,,6747.00,383.00,-383.00,0,1.610000,0.050000,-0.050000,0,0.39867,0.02259,-0.01922,0
K2-279 b,K2-279,1,1,7.12260500000,0.00164700000,-0.00160100000,0,1.21000000,0.14000000,-0.14000000,0,0.10794897,0.01248996,-0.01248996,0,,5558.00,70.00,-70.00,0,0.860000,0.010000,-0.010000,0,-0.20451,0.00957,-0.01832,0
K2-28 b,K2-28,1,1,2.26045500000,0.00004100000,-0.00004100000,0,2.32000000,0.24000000,-0.24000000,0,0.20697654,0.02141137,-0.02141137,0,M4,3214.00,60.00,-60.00,0,0.288000,0.028000,-0.028000,0,-1.93970,0.09910,-0.12862,0
K2-280 b,K2-280,1,1,19.89526000000,0.00028000000,-0.00028000000,0,7.50000000,0.44000000,-0.44000000,0,0.66910634,0.03925424,-0.03925424,0,,5500.00,100.00,-100.00,0,1.280000,0.070000,-0.070000,0,0.13976,0.01124,-0.01154,0
K2-281 b,K2-281,1,1,8.68772100000,0.00015100000,-0.00015000000,0,8.18000000,0.21000000,-0.21000000,0,0.72977072,0.01873495,-0.01873495,0,,4812.00,72.00,-72.00,0,0.760000,0.010000,-0.010000,0,-0.64686,0.01677,-0.01744,0
K2-282 b,K2-282,1,2,4.16978300000,0.00008900000,-0.00008900000,0,2.50000000,0.20000000,-0.10000000,0,0.22303545,0.01784284,-0.00892142,0,,5499.00,109.00,-109.00,0,1.000000,0.040000,-0.040000,0,-0.21463,0.01616,-0.01678,0
K2-283 b,K2-283,1,1,1.92103600000,0.00005100000,-0.00005300000,0,3.52000000,0.16000000,-0.16000000,0,0.31403337,0.01427424,-0.01427424,0,,5060.00,70.00,-70.00,0,0.820000,0.010000,-0.010000,0,-0.52364,0.01281,-0.01320,0
K2-284 b,K2-284,1,1,4.79506900000,0.00008600000,-0.00008600000,0,2.78000000,0.14000000,-0.12000000,0,0.24801499,0.01248996,-0.01070568,0,,4140.00,50.00,-50.00,0,0.607000,0.022000,-0.022000,0,-1.01323,0.01755,-0.01829,0
K2-285 b,K2-285,1,4,3.47174500000,0.00004400000,-0.00004600000,0,2.59000000,0.06000000,-0.06000000,0,0.23106432,0.00535284,-0.00535284,0,K2 V,4975.00,95.00,-95.00,0,0.787000,0.016000,-0.016000,0,-0.42183,0.00446,-0.00450,0
K2-285 c,K2-285,1,4,7.13804800000,0.00007200000,-0.00006300000,0,3.53000000,0.08000000,-0.08000000,0,0.31492551,0.00713712,-0.00713712,0,K2 V,4975.00,95.00,-95.00,0,0.787000,0.016000,-0.016000,0,-0.42183,0.00446,-0.00450,0
K2-285 d,K2-285,1,4,10.45582000000,0.00025000000,-0.00023000000,0,2.48000000,0.06000000,-0.06000000,0,0.22125078,0.00535284,-0.00535284,0,K2 V,4975.00,95.00,-95.00,0,0.787000,0.016000,-0.016000,0,-0.42183,0.00446,-0.00450,0
K2-285 e,K2-285,1,4,14.76289000000,0.00065000000,-0.00061000000,0,1.95000000,0.05000000,-0.05000000,0,0.17396735,0.00446070,-0.00446070,0,K2 V,4975.00,95.00,-95.00,0,0.787000,0.016000,-0.016000,0,-0.42183,0.00446,-0.00450,0
K2-286 b,K2-286,1,1,27.35900000000,0.00500000000,-0.00500000000,0,2.10000000,0.20000000,-0.20000000,0,0.18734945,0.01784280,-0.01784280,0,M0 V,3926.00,100.00,-100.00,0,0.620000,0.020000,-0.020000,0,-1.04576,0.19189,-0.35218,0
K2-287 b,K2-287,1,1,14.89329100000,0.00002500000,-0.00002500000,0,9.49402300,0.14571700,-0.14571700,0,0.84700000,0.01300000,-0.01300000,0,,5695.00,58.00,-58.00,0,1.070000,0.010000,-0.010000,0,-0.10829,0.00480,-0.00485,0
K2-288 B b,K2-288 B,2,1,31.39346300000,0.00006700000,-0.00006900000,0,1.90000000,0.30000000,-0.30000000,0,0.16950665,0.02676421,-0.02676421,0,M3 V,3341.00,276.00,-276.00,0,0.320000,0.030000,-0.030000,0,-1.93000,0.02000,-0.02000,0
K2-289 b,K2-289,1,1,13.15696900000,0.00004700000,-0.00005100000,0,9.10000000,0.30000000,-0.30000000,0,0.81184762,0.02676421,-0.02676421,0,,5529.00,77.00,-74.00,0,1.025000,0.030000,-0.028000,0,-0.50479,0.00809,-0.00825,0
